Date,AAPL,AMZN,MSFT,TSLA,SPY
2021-07-23,144.9425506591797,182.83200073242188,278.5975036621094,214.4600067138672,413.3665771484375
2021-07-26,145.36212158203125,184.99099731445312,278.0011291503906,219.2066650390625,414.38134765625
2021-07-27,143.1961669921875,181.3195037841797,275.58709716796875,214.92666625976562,412.49273681640625
2021-07-28,141.44972229003906,181.51600646972656,275.279296875,215.66000366210938,412.3236999511719
2021-07-29,142.09365844726562,179.99600219726562,275.54864501953125,225.78334045410156,414.0336608886719
2021-07-30,142.3083038330078,166.37950134277344,274.0193176269531,229.06666564941406,412.0229797363281
2021-08-02,141.97659301757812,166.57400512695312,273.932861328125,236.55667114257812,411.15850830078125
2021-08-03,143.7717742919922,168.31199645996094,276.1448974609375,236.5800018310547,414.5035400390625
2021-08-04,143.37171936035156,167.73599243164062,275.5582580566406,236.97332763671875,412.46453857421875
2021-08-05,143.47911071777344,168.79949951171875,278.4532165527344,238.2100067138672,415.0767517089844
2021-08-06,142.7950897216797,167.2469940185547,278.39544677734375,233.03334045410156,415.7625732421875
2021-08-09,142.7462921142578,167.093505859375,277.3086242675781,237.9199981689453,415.4242858886719
2021-08-10,142.2675018310547,166.03399658203125,275.490966796875,236.663330078125,415.9410095214844
2021-08-11,142.52151489257812,164.60549926757812,275.9814758300781,235.94000244140625,416.9746398925781
2021-08-12,145.48219299316406,165.1750030517578,278.73211669921875,240.75,418.2243347167969
2021-08-13,145.6873779296875,164.69850158691406,281.6559143066406,239.05667114257812,418.9853820800781
2021-08-16,147.6611328125,164.94949340820312,283.3390197753906,228.72332763671875,419.97198486328125
2021-08-17,146.75241088867188,162.09800720214844,281.8771057128906,221.90333557128906,417.2189025878906
2021-08-18,143.0100860595703,160.06100463867188,280.1522521972656,229.663330078125,412.6524963378906
2021-08-19,143.34231567382812,159.3874969482422,285.97247314453125,224.49000549316406,413.2913818359375
2021-08-20,144.79820251464844,159.99749755859375,293.28631591796875,226.75332641601562,416.5799865722656
2021-08-23,146.2834014892578,163.2935028076172,293.5657653808594,235.43333435058594,420.2444152832031
2021-08-24,146.19546508789062,165.28900146484375,291.60968017578125,236.163330078125,420.91156005859375
2021-08-25,144.9642791748047,164.95899963378906,291.0218200683594,237.06666564941406,421.7947692871094
2021-08-26,144.16305541992188,165.8000030517578,288.20806884765625,233.72000122070312,419.30487060546875
2021-08-27,145.1988525390625,167.48150634765625,288.8151550292969,237.30667114257812,423.0538635253906
2021-08-30,149.61534118652344,171.07850646972656,292.5443420410156,243.6366729736328,424.91424560546875
2021-08-31,148.35487365722656,173.5395050048828,290.8966064453125,245.24000549316406,424.2847595214844
2021-09-01,149.01931762695312,173.9499969482422,290.848388671875,244.69667053222656,424.5102233886719
2021-09-02,150.13319396972656,173.156005859375,290.193115234375,244.1300048828125,425.8162536621094
2021-09-03,150.76832580566406,173.90249633789062,290.1835021972656,244.52333068847656,425.71282958984375
2021-09-07,153.10362243652344,175.46449279785156,289.2584533691406,250.97332763671875,424.1907653808594
2021-09-08,151.55982971191406,176.27499389648438,289.28729248046875,251.2899932861328,423.67401123046875
